Seller.ID,Price,NumBids,SellRating
321shannonb,405,16,86
321shannonb,460.01,16,86
321shannonb,440,18,86
321shannonb,450,18,86
321shannonb,455,23,86
321shannonb,485,24,86
321shannonb,420,25,86
321shannonb,460,28,86
321shannonb,440,32,86
321shannonb,470,33,86
321shannonb,455,17,86
321shannonb,450,18,86
321shannonb,455,18,86
321shannonb,460,19,86
321shannonb,465,20,86
321shannonb,450,26,86
321shannonb,465,27,86
321shannonb,465,29,86
321shannonb,470,33,86
321shannonb,470,33,86
911_cenner,520,18,838
911_cenner,500,31,838
911_cenner,481,32,838
911_cenner,471,35,838
911_cenner,497,40,838
911_cenner,500,40,838
911_cenner,510,43,838
911_cenner,480,45,838
abe-123,437,32,169
abe-123,495,33,169
abe-123,510,35,169
abe-123,500,43,169
annan147,510,17,427
annan147,502,31,427
annan147,425,16,427
annan147,430,22,427
annan147,455,22,427
annan147,475,22,427
annan147,435,25,427
annan147,450,29,427
annan147,510,29,427
annan147,420,33,427
annan147,485,35,427
annan147,460,37,427
annan147,473.01,43,427
annasacchetti,485,17,4
annasacchetti,405,18,4
annasacchetti,430,19,4
annasacchetti,405,23,4
annasacchetti,460,29,4
apple-sales,455,17,141
apple-sales,460,22,141
apple-sales,465,26,141
apple-sales,450.01,29,141
apple-sales,430,32,141
apple-sales,450,33,141
apple-sales,423.88,34,141
apple-sales,459,41,141
apple-sales,450,56,141
babygurl10983,445,17,41
babygurl10983,455,19,41
babygurl10983,455,27,41
babygurl10983,472,28,41
babygurl10983,475,31,41
babygurl10983,462,32,41
babygurl10983,445,34,41
babygurl10983,510,40,41
babygurl10983,480,43,41
balloonknot77,475,17,98
balloonknot77,433.35,18,98
balloonknot77,470,19,98
balloonknot77,470,20,98
balloonknot77,490,22,98
balloonknot77,470,23,98
balloonknot77,455,24,98
balloonknot77,480,25,98
balloonknot77,450.01,31,98
bazazi,475,20,35
bazazi,470,22,35
bazazi,450,36,35
bazazi,480,37,35
behang92841,610,22,61
behang92841,470,23,61
behang92841,458,24,61
behang92841,485,29,61
bestbuysguys,460,32,650
bestbuysguys,498.5,35,650
bestbuysguys,465,38,650
bestelectronicdeal,455,24,753
bestelectronicdeal,485,28,753
bestelectronicdeal,450.01,30,753
bestelectronicdeal,460,31,753
bestelectronicdeal,475,32,753
bestelectronicdeal,500,32,753
bestelectronicdeal,510,34,753
bestelectronicdeal,560,35,753
bestelectronicdeal,540,36,753
bestpcdeals,456,15,3092
bestpcdeals,465.99,15,3092
bestpcdeals,480,15,3092
bestpcdeals,430,17,3092
bestpcdeals,465.05,18,3092
bestpcdeals,475.01,18,3092
bestpcdeals,448,19,3092
bestpcdeals,501,20,3092
bestpcdeals,460.01,21,3092
bestpcdeals,470,22,3092
bestpcdeals,470.01,22,3092
bestpcdeals,460.01,23,3092
bestpcdeals,465,23,3092
bestpcdeals,450,24,3092
bestpcdeals,435.22,27,3092
bidgui,510,19,178
bidgui,490,21,178
